5.64    0 	0 
5.66    0.23 	0.21   
5.68    0.52 	0.22   
5.70    0.40 	0.42   
5.72    0.52 	0.51   
5.74    0.56 	0.29   
5.76    0.96 	0.86   
5.78    0.96 	0.92   
5.80    0.94 	0.87   
5.82    0.86 	0.40   
5.84    1.09 	0.94   
5.86    0.91 	1.22   
5.88    1.30 	0.17   
5.90    1.36 	0.67   
5.92    1.70 	1.40   
5.94    2.49 	1.78   
5.96    3.35 	2.73   
5.98    3.49 	2.70   
6.00    4.36 	3.66   
6.02    4.74 	4.00   
6.04    4.57 	4.21   
6.06    3.98 	3.73   
6.08    6.35 	5.87   
6.10    7.63 	7.23   
6.12    9.97 	9.64   
6.14    8.22 	8.43   
6.16    10.71 	9.87   
6.18    13.29 	12.96  
6.20    15.84 	14.83  
6.22    17.05 	17.07  
6.24    23.35 	21.88  
6.26    29.94 	29.64  
6.28    39.01 	37.40  
6.30    47.59 	49.11  
6.32    52.56 	50.45  
6.34    53.23 	50.92  
6.36    62.85 	60.36  
6.38    82.63 	84.26  
6.40    75.73 	78.76  
6.42    79.85 	82.36  
6.44    96.38 	96.92  
6.46    100.00 	100.00 
6.48    74.08 	75.31  
6.50    78.21 	79.06  
6.52    88.15 	88.30  
6.54    85.88 	85.14  
6.56    69.84 	70.13  
6.58    61.37 	62.57  
6.60    62.53 	63.54  
6.62    57.01 	55.69  
6.64    59.44 	59.30  
6.66    70.23 	70.05  
6.68    73.97 	75.20  
6.70    69.88 	70.94  
6.72    73.13 	72.83  
6.74    81.17 	82.84  
6.76    79.62 	78.98  
6.78    69.62 	70.83  
6.80    72.51 	71.52  
6.82    75.00 	78.11  
6.84    64.82 	72.18  
6.86    59.06 	62.12  
6.88    69.82 	72.57  
6.90    79.11 	78.22  
6.92    83.20 	85.84  
6.94    80.46 	82.88  
6.96    78.01 	81.48  
6.98    75.70 	81.29  
7.00    81.55 	79.19  
7.02    77.31 	81.26  
7.04    71.04 	72.98  
7.06    80.21 	77.99  
7.08    81.85 	85.92  
7.10    78.30 	75.46  
7.12    81.54 	80.44  
7.14    73.90 	76.00  
7.16    71.74 	68.56  
7.18    76.91 	81.94  
7.20    70.09 	74.08  
7.22    76.82 	73.58  
7.24    76.98 	78.50  
7.26    66.30 	66.97  
7.28    73.46 	69.82  
7.30    71.23 	72.47  
7.32    68.65 	64.96  
7.34    71.49 	68.82  
7.36    71.36 	72.25  
7.38    76.01 	71.95  
7.40    76.57 	75.80  
7.42    75.12 	71.70  
7.44    73.03 	68.23  
7.46    65.11 	62.74  
7.48    66.29 	60.78  
7.50    66.08 	64.28  
7.52    58.51 	61.40  
7.54    56.33 	50.84  
7.56    51.87 	50.11  
7.58    38.28 	43.76  
7.60    37.82 	32.22  
7.62    33.79 	34.65  
7.64    24.30 	28.64  
7.66    24.83 	21.57  
7.68    22.96 	20.65  
7.70    16.97 	18.48  
7.72    14.50 	12.79  
7.74    14.84 	11.98  
7.76    10.07 	12.07  
7.78    8.54 	8.39   
7.80    9.01 	8.02   
7.82    6.94 	8.13   
7.84    5.35 	6.40   
7.86    5.70 	4.53   
7.88    5.84 	5.16   
7.90    4.21 	4.62   
7.92    3.76 	3.39   
7.94    3.41 	3.20   
7.96    2.54 	2.95   
7.98    1.84 	2.22   
8.00    2.06 	1.81   
8.02    1.72 	2.23   
8.04    1.33 	1.88   
8.06    1.31 	1.38   
8.08    1.39 	1.12   
8.10    1.23 	1.09   
8.12    1.22 	0.85   
8.14    0.22 	3.16   
8.16    0 	0
